Name,Current Residence,Age
Elia Aboumrad,"Las Vegas, Nevada",23
Otto Borsich,"Las Vegas, Nevada",46
Marisa Churchill,"San Francisco, California",28
Cliff Crooks,"West Caldwell, New Jersey",28
Carlos Fernandez,"Fort Lauderdale, Florida",36
Betty Fraser,"Los Angeles, California",44
Mia GainesAlt,"Oakdale, California",32
Ilan Hall,"New York, New York",24
Michael Midgley,"Lodi, California",28
Josie SmithMalave,"Brooklyn, New York",31
Emily Sprissler,"Las Vegas, Nevada",30
Suyai Steinhauer,"New York, New York",29
Sam Talbot,"New York, New York",28
Frank Terzoli,"San Diego, California",39
Marcel Vigneron,"Las Vegas, Nevada",26
