Name,Current Residence,Age
Nyesha Arrington,"Los Angeles, California",28
Lindsay Autry,"West Palm Beach, Florida",29
Tylor Boring,"Brooklyn, New York",34
ChrisC Crary,"Los Angeles, California",29
Richie Farina,"Chicago, Illinois",28
Sarah Grueneberg,"Chicago, Illinois",29
ChrisJ Jones,"Chicago, Illinois",30
Beverly Kim,"Chicago, Illinois",32
Edward Lee,"Louisville, Kentucky",38
Whitney Otawka,"Cumberland Island, Georgia",30
Paul Qui,"Austin, Texas",31
Keith Rhodes,"Wilmington, North Carolina",39
Grayson Schmitz,"New York, New York",28
Heather Terhune,"Chicago, Illinois",39
Chuy Valencia,"Chicago, Illinois",25
Dakota Weiss,"Los Angeles, California",35
